Nº;Seção;Subseção;Parâmetro;Tipo;Padrão;Descrição da fonte;Opções do enum;Notas operacionais;EA_Version;EA_SHA256
106;General Settings;Market Execution;MaxSpread;double;0;Maximum Allowed Spread for New Trades;;Zero disables the entry spread ceiling.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
107;General Settings;Market Execution;MaxSlippage;int;10;Slippage, ajustado no OnInit;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
108;General Settings;Position Exposure;myBlankSpaceExposure;string;"""""";||================== Position Exposure ==================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
109;General Settings;Position Exposure;MaxLongTrades;int;1;Maximum Simultaneous BUY Positions;;"Zero disables BUY entries; grid sides require zero or at least two, while Martingale permits at most one.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
110;General Settings;Position Exposure;MaxShortTrades;int;1;Maximum Simultaneous SELL Positions;;"Zero disables SELL entries; grid sides require zero or at least two, while Martingale permits at most one.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
111;General Settings;Position Exposure;Hedging;bool;false;Allow Hedging;;"Does not change the account type; the real MT5 account must also support hedging.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
112;General Settings;Identity and Interface;myBlankSpaceInterface;string;"""""";||=============== Identity and Interface ================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
113;General Settings;Identity and Interface;MagicNumber;int;384457;Magic Number;;Must be unique for each independent strategy/symbol scope.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
114;General Settings;Identity and Interface;ModificationSafetyPoints;int;0;Optional extra distance beyond broker limits and current spread;;Additional points beyond broker distance/spread constraints.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
115;General Settings;Identity and Interface;InterfaceLanguage;ENUM_INTERFACE_LANGUAGE;Language_Auto;Live chart interface language;Language_Auto, Language_English, Language_Portuguese, Language_Russian, Language_Chinese, Language_Spanish, Language_Japanese, Language_German, Language_Korean, Language_French, Language_Italian, Language_Turkish;"Eleven live/visual UI languages; Auto uses English in Tester and untranslated labels fall back to English.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
116;General Settings;Chart Dashboard;myBlankSpaceDashboard;string;"""""";||================== Chart Dashboard ==================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
117;General Settings;Chart Dashboard;EnableChartDashboard;bool;true;Show visual P&L panel on live and visual tester charts;;"Live/visual panel; periodic tick refresh is capped at once per second.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
118;Entries, Signal and Position Management;;PlotIndicatorsOnChart;bool;true;Draw the EA's own indicators on the chart (no extra memory: reuses the existing handles);;Draw the EA's own indicators on the chart (no extra memory: reuses the existing handles);1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
119;General Settings;Chart Dashboard;DashboardCorner;ENUM_BASE_CORNER;CORNER_LEFT_UPPER;Dashboard chart corner;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
120;General Settings;Chart Dashboard;DashboardOffsetX;int;12;Horizontal offset in pixels;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
121;General Settings;Chart Dashboard;DashboardOffsetY;int;24;Vertical offset in pixels;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
122;General Settings;Chart Dashboard;ShowClosedDealLabels;bool;true;Show monetary and percentage result at each closed trade;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
123;General Settings;Chart Dashboard;MaxVisibleDealLabels;int;120;Maximum closed-trade labels kept on chart;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
124;General Settings;Chart Dashboard;ClosedDealLabelFontSize;int;10;Closed-trade label font size;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
125;General Settings;Chart Dashboard;ApplyEmbeddedChartTheme;bool;true;Apply the White Rabbit X clean chart style on every machine;;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
126;Optimization (WFO);;AtivarWFO;bool;false;Enable WFO;;"Enables the internal WFO boundary logic; still requires an external chronological process.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
127;Optimization (WFO);;MetodoDeEntradawfo;WFOTIPO;Insample;Optimization Mode;Insample, InSampleAndOutSample;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
128;Optimization (WFO);;input_end_date;string;"""2025.02.28""";Backtest End Date (manual);;"Manual tester end date; keep synchronized with the selected test range.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
129;Optimization (WFO);WFO Periods;myBlankSpaceWFOPeriods;string;"""""";||===================== WFO Periods =====================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
130;Optimization (WFO);WFO Periods;wfo_windowSize;WFO_TIME_PERIOD;Ano;In-Sample Window Size;Nenhum, Ano, Semestre, Trimestre, Mes, Semana, Dia, Custom;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
131;Optimization (WFO);WFO Periods;wfo_customWindowSizeDays;int;0;Custom Window Size in Days (0 = unused);;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
132;Optimization (WFO);WFO Periods;wfo_stepSize;WFO_TIME_PERIOD;Semestre;Out-of-Sample Step Size;Nenhum, Ano, Semestre, Trimestre, Mes, Semana, Dia, Custom;Use dentro de sua seção e valide a combinação completa.;1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
133;Optimization (WFO);WFO Periods;wfo_customStepSizePercent;int;0;Custom Step Size in Days or Percentage;;"Custom step: positive=percentage of IS; negative=fixed number of OOS days (for example -61).";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
134;Optimization (WFO);Optimization Criterion;myBlankSpace4447;string;"""""";||=============== Optimization Criterion ================||;;"Separador visual mantido para compatibilidade do esquema .set; não otimizar.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
135;Optimization (WFO);Optimization Criterion;selectedFormula;CustomFormulaType;Formula_ProfitPerTradeAdjustedByDD;Custom Optimization Formula;Formula_None, Formula_GridSurvivalScore, Formula_Profit, Formula_ProfitWinTradeDD, Formula_EfficiencyRelativeToDeposit, Formula_AdjustedEfficiencyForGrid, Formula_ProfitRelativeToDDAndDeposit, Formula_ProfitPerTradeAdjustedByDD, Formula_SharpeAdjustedByDD, Formula_PessimisticProfit, Formula_ResilienceToDrawdown, Formula_ReturnUniformity, Formula_SystemRobustness, Formula_LevainCompositeScore, Formula_SomaR;"Optimization criterion only; inspect stability and OOS results before selection.";1.12;2D81FDAA674A60EA5174A17BA94D01B783C0497C4C3C7247AD03179C8FD29768
